INFO: Waiting for solution ...
INFO: Algorithm took 0.106 seconds.
INFO: Step 184 - from (4, 0) to (0, 0) ; cost 4
INFO: Step 185 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 186 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 187 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 188 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 189 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 190 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 191 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 192 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 193 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 194 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 195 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 196 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 197 - from (5, 6) to (1, 6) ; cost 4
INFO: Step 198 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 199 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 200 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 201 - from (1, 6) to (5, 6) ; cost 4
INFO: Step 202 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 203 - from (5, 6) to (1, 6) ; cost 4
INFO: Step 204 - from (1, 6) to (5, 6) ; cost 4
INFO: Step 205 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 206 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 207 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 208 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 209 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 210 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 211 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 212 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 213 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 214 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 215 - from (0, 6) to (5, 6) ; cost 5
